Vivado Simulator 2020.1
Time resolution is 1 ps
0	| fffff0b7	| 00000000	| 0		| 0		| 1111000000000000	| 0
=== TASK 3 - SHIFT LEFT PROGRAM ===
PC	| inst		| x1(limit)	| x2(value)	| x5(ret)	| LEDs			| mem[8]
------------------------------------------------------------------------
12	| 010002ef	| fffff000	| 2097152		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 2097152		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 2097152		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 2097152		| 36		| 0000000000000000	| 0
12	| 010002ef	| fffff000	| 4194304		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 4194304		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 4194304		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 4194304		| 36		| 0000000000000000	| 0
12	| 010002ef	| fffff000	| 8388608		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 8388608		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 8388608		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 8388608		| 36		| 0000000000000000	| 0
12	| 010002ef	| fffff000	| 16777216		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 16777216		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 16777216		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 16777216		| 36		| 0000000000000000	| 0
